url,pageType,category,title,incomingInternalLinks,outgoingInternalLinks,internalAuthority,recommendedNewStructure
https://www.getyour.design/,Startseite,Startseite,"GETYOUR.DESIGN | Contemporary Design, Kunst und Objekte",116,11,Hoch,Design-Shop
https://www.getyour.design/arbeit-einreichen,Landingpage,Ateliers,Arbeit einreichen | GETYOUR.DESIGN,116,11,Hoch,Ateliers
https://www.getyour.design/art,Landingpage,Kunst,Kunst | GETYOUR.DESIGN,116,11,Hoch,Kunst
https://www.getyour.design/artists,Künstler,Kunst,Künstler | GETYOUR.DESIGN,116,11,Hoch,Kunst
https://www.getyour.design/ateliers,Atelier,Ateliers,Ateliers | GETYOUR.DESIGN,116,11,Hoch,Ateliers
https://www.getyour.design/brands,Atelier,Ateliers,Marken & Ateliers | GETYOUR.DESIGN,116,11,Hoch,Ateliers
https://www.getyour.design/collections,Kategorie,Kollektionen,Kollektionen | GETYOUR.DESIGN,116,11,Hoch,Kollektionen
https://www.getyour.design/journal,Journal,Journal,Journal | GETYOUR.DESIGN,116,11,Hoch,Journal
https://www.getyour.design/materials,Landingpage,Ateliers,Materialien | GETYOUR.DESIGN,116,11,Hoch,Ateliers
https://www.getyour.design/shop,Produkt,Design,Shop | GETYOUR.DESIGN,116,115,Hoch,Design-Shop
https://www.getyour.design/trade,Landingpage,Ateliers,Commissions & Collaborations | GETYOUR.DESIGN,116,12,Hoch,Ateliers
https://www.getyour.design/warenkorb,Sonstige,Sonstige,Warenkorb | GETYOUR.DESIGN,116,11,Hoch,Design-Shop
https://www.getyour.design/contact,Landingpage,Ateliers,Kontakt | GETYOUR.DESIGN,41,12,Hoch,Ateliers
https://www.getyour.design/shop/collectible-design,Kategorie,Design-Shop,Collectible Design | GETYOUR.DESIGN,13,24,Hoch,Design-Shop
https://www.getyour.design/shop/editionen,Kategorie,Kunstwerke,Editionen | GETYOUR.DESIGN,13,24,Hoch,Kunstwerke
https://www.getyour.design/shop/kunst,Kategorie,Kunst,Kunst | GETYOUR.DESIGN,13,24,Hoch,Kunst
https://www.getyour.design/shop/leuchten,Kategorie,Leuchten,Leuchten | GETYOUR.DESIGN,13,24,Hoch,Leuchten
https://www.getyour.design/shop/moebel,Kategorie,Möbel,Möbel | GETYOUR.DESIGN,13,24,Hoch,Möbel
https://www.getyour.design/shop/objekte,Kategorie,Objekte,Objekte | GETYOUR.DESIGN,13,24,Hoch,Objekte
https://www.getyour.design/shop/tabletop,Kategorie,Accessoires,Tabletop | GETYOUR.DESIGN,13,24,Hoch,Accessoires
https://www.getyour.design/shop/teppiche,Kategorie,Teppiche,Teppiche | GETYOUR.DESIGN,13,24,Hoch,Teppiche
https://www.getyour.design/shop/beistelltisch-aus-naturstein,Produkt,Objekte,Beistelltisch aus Naturstein | GETYOUR.DESIGN,2,13,Niedrig,Objekte
https://www.getyour.design/shop/collectible-design-01-limitierter-beistelltisch-aus-stein,Produkt,Design-Shop,Limitierter Beistelltisch aus Stein | GETYOUR.DESIGN,2,13,Niedrig,Design-Shop
https://www.getyour.design/shop/collectible-design-02-sitzskulptur-mit-stahlrahmen,Produkt,Design-Shop,Sitzskulptur mit Stahlrahmen | GETYOUR.DESIGN,2,14,Niedrig,Design-Shop
https://www.getyour.design/shop/collectible-design-03-edition-aus-bronze-und-glas,Produkt,Design-Shop,Edition aus Bronze und Glas | GETYOUR.DESIGN,2,14,Niedrig,Design-Shop
https://www.getyour.design/shop/collectible-design-04-objekttisch-mit-patinierter-flaeche,Produkt,Design-Shop,Objekttisch mit patinierter Fläche | GETYOUR.DESIGN,2,13,Niedrig,Design-Shop
https://www.getyour.design/shop/collectible-design-05-keramische-sitzform,Produkt,Design-Shop,Keramische Sitzform | GETYOUR.DESIGN,2,13,Niedrig,Design-Shop
https://www.getyour.design/shop/collectible-design-06-regalobjekt-in-kleiner-edition,Produkt,Design-Shop,Regalobjekt in kleiner Edition | GETYOUR.DESIGN,2,13,Niedrig,Design-Shop
https://www.getyour.design/shop/collectible-design-07-lichtskulptur-aus-glas,Produkt,Design-Shop,Lichtskulptur aus Glas | GETYOUR.DESIGN,2,14,Niedrig,Design-Shop
https://www.getyour.design/shop/collectible-design-08-steinrelief-als-objekt,Produkt,Design-Shop,Steinrelief als Objekt | GETYOUR.DESIGN,2,14,Niedrig,Design-Shop
