url,pageType,category,mainTopic,seoRelevance,geoRelevance,affiliateRelevance,internalAuthority,recommendedNewStructure,recommendedAssignment
https://www.getyour.design/,Startseite,Startseite,GETYOUR.DESIGN,Hoch bei Freigabe,Nein,Nein,Hoch,Design-Shop,Design-Shop
https://www.getyour.design/arbeit-einreichen,Landingpage,Ateliers,Arbeit einreichen.,Hoch bei Freigabe,Nein,Nein,Hoch,Ateliers,Ateliers
https://www.getyour.design/art,Landingpage,Kunst,"Kunstwerke, Papierarbeiten, Skulpturen und Editionen.",Hoch bei Freigabe,Nein,Nein,Hoch,Kunst,Kunst
https://www.getyour.design/artists,Künstler,Kunst,"Künstler, die Objekte, Oberflächen und Räume prägen.",Mittel bei Freigabe,Nein,Nein,Hoch,Kunst,Kunst
https://www.getyour.design/ateliers,Atelier,Ateliers,"Werkstätten, Materialien und Arbeiten nach Maß.",Mittel bei Freigabe,Nein,Nein,Hoch,Ateliers,Ateliers
https://www.getyour.design/brands,Atelier,Ateliers,"Ateliers, Manufakturen und Hersteller mit eigener Haltung.",Mittel bei Freigabe,Nein,Nein,Hoch,Ateliers,Ateliers
https://www.getyour.design/collections,Kategorie,Kollektionen,Kuratierte Einstiege in den Shop.,Hoch bei Freigabe,Nein,Nein,Hoch,Kollektionen,Kollektionen
https://www.getyour.design/contact,Landingpage,Ateliers,"Finden Sie das Objekt, das den Raum trägt.",Hoch bei Freigabe,Ja,Nein,Hoch,Ateliers,Ateliers
https://www.getyour.design/journal,Journal,Journal,"Geschichten über Räume, Objekte und Arbeiten mit Bestand.",Mittel bei Freigabe,Nein,Nein,Hoch,Journal,Journal
https://www.getyour.design/materials,Landingpage,Ateliers,"Eine Bibliothek für Oberflächen, Haptik und Wertigkeit.",Hoch bei Freigabe,Nein,Nein,Hoch,Ateliers,Ateliers
https://www.getyour.design/shop,Produkt,Design,"Möbel, Leuchten, Kunst, Teppiche, Objekte und Editionen.",Hoch bei Freigabe,Nein,Nein,Hoch,Design-Shop,Design-Shop
https://www.getyour.design/shop/beistelltisch-aus-naturstein,Produkt,Objekte,Beistelltisch aus Naturstein,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/collectible-design,Kategorie,Design-Shop,Collectible Design,Hoch bei Freigabe,Nein,Nein,Hoch,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-01-limitierter-beistelltisch-aus-stein,Produkt,Design-Shop,Limitierter Beistelltisch aus Stein,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-02-sitzskulptur-mit-stahlrahmen,Produkt,Design-Shop,Sitzskulptur mit Stahlrahmen,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-03-edition-aus-bronze-und-glas,Produkt,Design-Shop,Edition aus Bronze und Glas,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-04-objekttisch-mit-patinierter-flaeche,Produkt,Design-Shop,Objekttisch mit patinierter Fläche,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-05-keramische-sitzform,Produkt,Design-Shop,Keramische Sitzform,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-06-regalobjekt-in-kleiner-edition,Produkt,Design-Shop,Regalobjekt in kleiner Edition,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-07-lichtskulptur-aus-glas,Produkt,Design-Shop,Lichtskulptur aus Glas,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
